Source,SampleID,Seat tube (m),Down tube (m),Seat stays (m),Head tube (m),Bottom bracket (m),Chain stay start (m) [Back fork side],Chain stay end (m) [seat tube side],Top tube start (m) [Seat tube side],Top tube end (m) [Head tube side],Seat tube Joint (MPa),Head tube Joint (MPa),Bottom Bracket Joint (MPa),Seat tube Joint (Pa),Head tube Joint (Pa),Bottom Bracket Joint (Pa),Vertical Force (N),Vertical Displacement (m),Vertical Displacement (mm),Vertical Compliance (mm/N),Vertical Stiffness (N/mm),Lateral Force (N),Lateral Displacement (m),Lateral Displacement (mm),Lateral Stiffness (N/mm)
Fillet_First60,1,0.00146323,0.00236848,0.00128507,0.00240499,0.00242017,0.00216084,0.00164166,0.00291339,0.00167459,33.102,46.113,47.026,3.31E+07,4.61E+07,4.70E+07,2400,-4.85E-04,-0.484631,0.00020193,4952.217807,1660,-1.62E-03,-1.618701,1025.513956
Fillet_First60,2,0.00162767,0.00255534,0.0015691,0.00230834,0.00226963,0.00210086,0.00165559,0.0028962,0.00166195,28.247,46.944,44.107,2.82E+07,4.69E+07,4.41E+07,2400,-4.42E-04,-0.442262,0.00018428,5426.653527,1660,-1.52E-03,-1.519279,1092.623272
Fillet_First60,3,0.00168638,0.00212097,0.00159446,0.00227664,0.00197995,0.00209859,0.00165724,0.00296001,0.00166347,27.698,48.284,53.793,2.77E+07,4.83E+07,5.38E+07,2400,-4.50E-04,-0.449638,0.00018735,5337.62131,1660,-1.50E-03,-1.501947,1105.231979
Fillet_First60,4,0.0015165,0.00252924,0.00139447,0.00266718,0.00212755,0.00208182,0.00164043,0.00287067,0.00167911,31.106,46.849,45.77,3.11E+07,4.68E+07,4.58E+07,2400,-4.69E-04,-0.468845,0.00019535,5118.963736,1660,-1.59E-03,-1.592241,1042.555467
Fillet_First60,5,0.00157728,0.00232876,0.00135849,0.00254,0.00203523,0.00209906,0.00160939,0.00294712,0.00165353,31.663,45.918,49.104,3.17E+07,4.59E+07,4.91E+07,2400,-4.72E-04,-0.471943,0.00019664,5085.365091,1660,-1.58E-03,-1.577946,1052.000304
Fillet_First60,6,0.00174921,0.00222832,0.00118846,0.00210693,0.00153028,0.00216985,0.00163305,0.00290481,0.0016435,35.461,52.029,58.161,3.55E+07,5.20E+07,5.82E+07,2400,-4.89E-04,-0.489367,0.0002039,4904.296757,1660,-1.62E-03,-1.619386,1025.079951
Fillet_First60,7,0.00170842,0.00226763,0.00110735,0.00213687,0.00221311,0.00211647,0.0016165,0.00287302,0.00169727,37.686,51.724,49.318,3.77E+07,5.17E+07,4.93E+07,2400,-4.97E-04,-0.496798,0.000207,4830.936107,1660,-1.67E-03,-1.669214,994.479926
Fillet_First60,8,0.0015725,0.00212961,0.00155208,0.00209629,0.00218391,0.00216777,0.001603,0.00291612,0.00169833,28.217,53.105,52.59,2.82E+07,5.31E+07,5.26E+07,2400,-4.58E-04,-0.457835,0.00019076,5242.068024,1660,-1.52E-03,-1.520677,1091.618735
Fillet_First60,9,0.00147637,0.00200571,0.00149437,0.00271715,0.00168959,0.00211447,0.00162673,0.00288199,0.0016709,29.065,45.423,59.861,2.91E+07,4.54E+07,5.99E+07,2400,-4.79E-04,-0.478509,0.00019938,5015.575315,1660,-1.56E-03,-1.556399,1066.56441
Fillet_First60,10,0.00159341,0.00250808,0.00124602,0.00256721,0.00210833,0.00214865,0.00164904,0.00286811,0.00167226,34.142,46.315,46.004,3.41E+07,4.63E+07,4.60E+07,2400,-4.79E-04,-0.478523,0.00019938,5015.437768,1660,-1.62E-03,-1.619679,1024.894467
Fillet_First60,11,0.00173049,0.00257921,0.0012139,0.00261192,0.00176973,0.0020935,0.00165194,0.00290679,0.00167425,35.038,46.501,51.446,3.50E+07,4.65E+07,5.14E+07,2400,-4.76E-04,-0.47632,0.00019847,5038.629554,1660,-1.62E-03,-1.615273,1027.689914
Fillet_First60,12,0.001658,0.00251988,0.001578,0.00200353,0.00232999,0.00217842,0.00160962,0.00289923,0.00165368,28.082,54.597,44.217,2.81E+07,5.46E+07,4.42E+07,2400,-4.40E-04,-0.439539,0.00018314,5460.267295,1660,-1.51E-03,-1.508328,1100.556395
Fillet_First60,13,0.00167883,0.00211525,0.00103634,0.00254958,0.00171849,0.00215938,0.0016298,0.00294572,0.00164004,39.784,46.251,55.96,3.98E+07,4.63E+07,5.60E+07,2400,-5.17E-04,-0.517468,0.00021561,4637.964282,1660,-1.69E-03,-1.689882,982.317262
Fillet_First60,14,0.0017829,0.00250053,0.00111954,0.00253319,0.00240131,0.00211943,0.00163056,0.0028577,0.00166723,37.472,45.679,44.259,3.75E+07,4.57E+07,4.43E+07,2400,-4.83E-04,-0.483025,0.00020126,4968.683646,1660,-1.65E-03,-1.654536,1003.302468
Fillet_First60,15,0.00178777,0.00256154,0.00113993,0.0026789,0.00223737,0.00213134,0.0016402,0.00291745,0.00166102,36.915,46.346,44.558,3.69E+07,4.63E+07,4.46E+07,2400,-4.79E-04,-0.478633,0.00019943,5014.280518,1660,-1.64E-03,-1.636761,1014.198364
Fillet_First60,16,0.00153813,0.00229348,0.0012623,0.00263475,0.00180663,0.00217578,0.00165153,0.00291403,0.00165087,33.643,46.084,51.436,3.36E+07,4.61E+07,5.14E+07,2400,-4.88E-04,-0.488044,0.00020335,4917.58628,1660,-1.62E-03,-1.616268,1027.057115
Fillet_First60,17,0.00171624,0.00204886,0.00105761,0.00246155,0.00228967,0.00213954,0.00161801,0.00295254,0.00169221,38.979,44.797,53.823,3.90E+07,4.48E+07,5.38E+07,2400,-5.08E-04,-0.508077,0.0002117,4723.696414,1660,-1.68E-03,-1.676197,990.336786
Fillet_First60,18,0.00147123,0.00202738,0.00118162,0.002091,0.00199471,0.00215565,0.00162764,0.00296624,0.00167017,35.385,53.119,56.71,3.54E+07,5.31E+07,5.67E+07,2400,-5.10E-04,-0.510344,0.00021264,4702.711353,1660,-1.66E-03,-1.657321,1001.61637
Fillet_First60,19,0.00158263,0.00225453,0.00115178,0.00214445,0.00173681,0.00209621,0.00160026,0.00293675,0.00169975,36.418,51.592,52.689,3.64E+07,5.16E+07,5.27E+07,2400,-5.03E-04,-0.502991,0.00020958,4771.458604,1660,-1.66E-03,-1.657236,1001.667632
Fillet_First60,20,0.00148076,0.0023777,0.00142725,0.00219053,0.00212506,0.0021416,0.00162924,0.00289233,0.00165232,30.371,49.788,48.095,3.04E+07,4.98E+07,4.81E+07,2400,-4.71E-04,-0.470612,0.00019609,5099.74565,1660,-1.57E-03,-1.574825,1054.085064
Fillet_First60,21,0.00154223,0.0020831,0.00109725,0.00239455,0.00156373,0.00212343,0.00161304,0.00293029,0.00164832,37.873,47.068,58.569,3.79E+07,4.71E+07,5.86E+07,2400,-5.22E-04,-0.521511,0.0002173,4602.008569,1660,-1.69E-03,-1.691451,981.406123
Fillet_First60,22,0.00150645,0.00203957,0.00142095,0.00216258,0.00184264,0.00211519,0.00160665,0.00294203,0.0016681,30.3,51.229,57.451,3.03E+07,5.12E+07,5.75E+07,2400,-4.81E-04,-0.48063,0.00020026,4993.450998,1660,-1.57E-03,-1.565279,1060.513576
Fillet_First60,23,0.00169466,0.00227664,0.001482,0.00242325,0.00235489,0.00213714,0.00162424,0.00291146,0.001647,29.446,45.997,48.388,2.94E+07,4.60E+07,4.84E+07,2400,-4.51E-04,-0.450551,0.00018773,5326.8092,1660,-1.53E-03,-1.529857,1085.06875
